InvestorID,InvestorName,current_task_index,PrimaryInvestorType,Website,normalized_domain,current_token_company_count,current_source_methods
234549-28,Fitec1,5016,Accelerator/Incubator,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
437185-81,Green Cross Health Care,5018,Corporation,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
225830-80,Encomenda,5023,Venture Capital,encomenda.com,encomenda.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
58662-37,AG2R La Mondiale,5027,Limited Partner,www.ag2rlamondiale.fr,ag2rlamondiale.fr,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
54522-01,Almi Invest,5029,Venture Capital,www.almiinvest.se,almiinvest.se,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
232458-58,Alpana Ventures,5030,Venture Capital,www.alpana-ventures.ch,alpana-ventures.ch,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
221936-86,CASSIUS,5033,Venture Capital,www.cassius.vc,cassius.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
50984-74,Credo Ventures,5035,Venture Capital,www.credoventures.com,credoventures.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
174882-34,JME Venture Capital,5040,Venture Capital,www.jme.vc,jme.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
56181-16,PolyTech Ventures,5046,Venture Capital,www.polytechventures.ch,polytechventures.ch,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
51064-84,Seedcamp,5048,Venture Capital,www.seedcamp.com,seedcamp.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
153419-41,Switch Ventures,5049,Venture Capital,www.switch.vc,switch.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
176634-10,Thynk Capital,5050,Venture Capital,www.thynkcapital.com,thynkcapital.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
489777-58,Xperiment Ventures,5053,Venture Capital,www.xperiment.co,xperiment.co,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
232937-38,XTech Ventures,5054,Venture Capital,www.xtech-ventures.co.jp,xtech-ventures.co.jp,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
325166-41,186 Ventures,5055,Venture Capital,186ventures.com,186ventures.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
159291-10,Barn Investimentos,5059,Venture Capital,barninvest.com.br/en,barninvest.com.br,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
158595-22,Bright Pixel Capital,5060,Corporate Venture Capital,www.brpx.com,brpx.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
61136-11,British Business Bank,5061,Lender/Debt Provider,www.british-business-bank.co.uk,british-business-bank.co.uk,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
57631-06,LAUNCH Fund,5066,Accelerator/Incubator,launchaccelerator.co,launchaccelerator.co,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
343619-65,MatterScale Ventures,5068,Venture Capital,www.matterscale.com,matterscale.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
109531-36,NAU IB Capital,5071,PE/Buyout,www.nauib.com,nauib.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
117927-73,Sazze Partners,5074,Venture Capital,www.sazze.vc,sazze.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
153609-94,Superhero Capital,5076,Venture Capital,www.superherocapital.com,superherocapital.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation
118746-55,Adam Foroughi,5081,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
234331-66,Aergo,5083,Accelerator/Incubator,www.aergo.io,aergo.io,1,company_investor_relation|deal_investor_relation|investor_investment_relation
491205-88,Algonaut Capital,5088,Corporation,www.algonaut.ca,algonaut.ca,1,company_investor_relation|deal_investor_relation|investor_investment_relation
