InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
100200-43,Axiom Holdings,rule_b_only_added,no,yes,,4826,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.axiomholdings.info,axiomholdings.info
592640-47,Aydton Ventures,rule_b_only_added,no,yes,,4834,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.adytonventures.com,adytonventures.com
403997-32,Ayre Group,rule_b_only_added,no,yes,,4836,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.ayre.group,ayre.group
83319-04,B7,rule_b_only_added,no,yes,,4854,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.b7inc.com,b7inc.com
111154-96,Babak Yazdani,rule_b_only_added,no,yes,,4856,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
233381-17,Bakkt Holdings,rule_b_only_added,no,yes,,4870,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.bakkt.com,bakkt.com
54967-15,BAM Elevate,rule_b_only_added,no,yes,,4877,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Growth/Expansion,bamelevate.com,bamelevate.com
11549-98,Banco Bilbao Vizcaya Argentaria,rule_b_only_added,no,yes,,4879,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.bbva.com,bbva.com
10091-08,Bank of America,rule_b_only_added,no,yes,,4883,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Investment Bank,www.bankofamerica.com,bankofamerica.com
10301-14,Bank of New York Mellon,rule_b_only_added,no,yes,,4885,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.bny.com,bny.com
184808-26,Base Partners,rule_b_only_added,no,yes,,4079,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.basepar.com,basepar.com
491376-34,BCBS Health Equity Business Accelerator,rule_b_only_added,no,yes,,4920,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,,
465509-44,BCP Ventures,rule_b_only_added,no,yes,,4924,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,bcp.capital,bcp.capital
1232041-96,Beijing Junheng Private Equity Fund Management,rule_b_only_added,no,yes,,4944,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
166295-26,Benjamin Fischman,rule_b_only_added,no,yes,,4965,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
481924-81,Big Data Protocol,rule_b_only_added,no,yes,,5003,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.bigdataprotocol.com,bigdataprotocol.com
106135-03,Bill Lee,rule_b_only_added,no,yes,,3853,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),www.backtoreality.com,backtoreality.com
718951-69,Bitbank Ventures,rule_b_only_added,no,yes,,5029,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,ventures.bitbank.cc,ventures.bitbank.cc
656116-03,BlackBridge,rule_b_only_added,no,yes,,5064,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,blackbridgefurnishings.co.uk,blackbridgefurnishings.co.uk
